Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,ATG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,8.158382621,4.835099324,3.626684203,5.052051528,7.381823811,3.687100043,2.213168623,1.363286289,1.481199119,2.405950071,2.255815391,2.735545958,1.315934305,1.331329642,1.912248736,1.185089805,0.691822825,0.878398986,0.485576885,0.777143112,0.771028968,1.649415693,1.709082336,1.324191653,1.140221929,1.769847337,0.768750709,0.191029621,0.815421749,0.301359712,0.596803981,0.680263764,0.488062344,1.727277424,1.407679125,0.203706024,0.15559892,0.176025616,
Australia,AUS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601040437,4.501033655,3.933626959,3.093866938,4.655914615,2.712527819,3.734759822,2.789416163,4.277362118,5.969767899,4.400188978,2.202509605,1.86663603,1.127669694,0.805161072,0.539504281,0.568497227,0.323935015,0.469113203,0.45045246,-0.105658942,0.296320305,
Burundi,BDI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,3.883605226,3.580320721,5.241179429,2.675027575,3.135828979,3.086123592,5.722598175,6.234599589,7.643800094,8.379570237,7.510091173,8.893743905,10.94275686,9.074859138,11.10704643,11.51229987,10.01944081,8.868425625,12.40588673,12.21488038,12.57846853,12.48775203,12.47071823,12.8176769,14.13278059,12.12084675,16.1978751,17.82510268,18.9245936,18.81236153,23.5004687,22.17698498,28.92143968,23.35762924,34.0511466,29.04298524,12.92441881,5.872575924,7.764231132,9.402932449,10.52457804,16.09527779,21.1886259,29.70428621,40.9975178,33.10059621,34.07913732,35.47679649,32.49106236,32.58509588,31.24136889,24.39704388,21.16339581,20.49327399,16.2181854,
Belgium,BEL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.008869878,0.629942234,1.590955258,1.682620571,6.71631607,6.184525671,4.926934163,5.320089103,4.04403356,4.003067997,4.451454434,8.729694629,4.908975176,5.250050778,5.937644794,8.009530306,7.26652344,6.510637357,6.494153109,7.125466638,6.291573403,6.307844111,6.316480403,7.849003075,7.344836319,9.167203,10.27935208,8.716842763,9.901306067,18.29540696,13.89252789,13.58458959,16.45638222,12.85437626,16.371682,13.17698992,12.43102143,9.857128682,8.401923607,7.876153468,9.52122315,10.4248979,7.237566901,7.752750592,8.781506967,7.248935026,7.809955004,7.958264558,9.007682382,9.655019531,9.982124949,8.668898166,6.321622094,7.298564513,6.309836272,
Burkina Faso,BFA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.059720268,0.381962983,1.141573434,1.041600194,3.721980687,4.118877359,3.901101139,4.369375737,4.971152826,5.034610989,4.797075747,5.974188542,5.94500122,8.435436334,12.86188303,9.537654374,8.259350747,9.816957302,10.71230986,11.27828556,10.90905549,12.16453914,12.05087874,11.39106598,12.5765502,12.18585624,13.24090516,11.35857865,11.01754,10.18862605,10.55380577,13.42523718,19.41430275,20.20742321,22.99807307,20.67753264,16.14605631,15.06700232,14.27354935,13.24518024,6.898766026,14.55805202,13.79943502,12.94121845,13.36481529,12.74076561,15.43020298,14.07248365,11.99330679,12.96955808,11.34735109,9.449237232,10.65607246,8.754703202,9.032070791,
Bangladesh,BGD,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,5.198165,4.243359853,5.512471456,4.927019983,8.162886773,7.5161892,7.48378619,7.297879897,5.337540043,7.096030945,5.751979043,6.100986381,4.972468716,6.432029907,7.208769256,5.938576105,6.116851021,6.492388154,5.946636189,5.598726634,4.060145963,5.004785042,3.27837883,2.577291706,2.04049926,2.26168444,2.307716612,2.128498674,1.876225243,1.592481356,2.228824518,2.08147327,1.818585047,1.609564116,1.788530336,2.098240471,1.108309467,1.126595014,1.074870504,1.485229114,1.622223223,1.311213104,
Bulgaria,BGR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,7.003252758,5.751583324,4.400960233,7.145287043,5.628540868,2.204096457,3.63330343,0.290291718,-0.082170306,-0.052692092,3.881672665,1.969969571,1.674990825,2.225640372,1.798693568,1.724743628,2.177535014,2.458354472,3.316465133,0.974447417,0.683656316,0.818171457,0.676171644,1.245258698,0.462975968,,,,,,,,,,,
"Bahamas, The",BHS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,-0.026736863,,,0.0095462,0.025532208,0.026444444,0.016693944,0.200684342,0.012756378,0.015041078,0.015702938,0.046075255,0.21819597,0.075608626,0.078529149,0.080508551,0.065845723,0.043780684,0.097477028,0.085948329,0.13888933,0.117405946,0.110557725,0.054017021,0.605358623,0.033896882,0.239347794,0.025557947,0.143071152,0.113423697,0.088883674,0.079151015,0.075591116,0.029442264,0.023635961,0.109732769,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.45591081,59.44946934,33.22133165,25.0318215,18.57437035,23.75919243,12.1053915,10.18021918,7.762316693,6.086980345,6.517234816,4.690962255,4.035021471,3.690305504,2.357774793,2.266630876,2.913348665,3.336660344,3.288035934,2.840969631,3.373271303,
Belarus,BLR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191009094,0.207669177,0.186694389,0.18414287,0.203056604,0.256537828,0.203599902,0.165886056,0.149818169,0.162231396,
Belize,BLZ,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,6.515989859,9.477063828,17.41208275,12.08747558,4.302603704,5.343684015,5.837658014,12.38011737,12.73259636,14.9905508,11.55406947,8.902355383,14.05148536,6.290991717,6.731772302,8.232427938,13.13824733,8.505131638,14.06949807,14.14334471,7.520746888,5.921465969,6.899913966,8.207084469,6.89484127,11.00351229,10.76510067,8.714047133,8.173202614,8.13346642,7.463384615,5.017045163,5.099315961,5.650422212,5.647987102,3.045277836,3.341045702,2.228569083,2.302308925,6.666166391,1.882260135,2.75475162,2.586699361,1.307621731,0.805435435,1.217272121,0.790177553,1.923842099,1.982636805,2.211323404,1.948968953,1.586088214,1.732126738,3.312079221,,
Bermuda,BMU,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,0.008728544,0.04100957,0.041877851,0.036313369,0.025,0.005681818,0.005040323,,0.003987241,,0.009006304,0.005440696,0.00728863,0.016796137,0.031558185,0.027849981,0.042813456,0.026431719,0.008449005,0.007449186,0.007608902,0.084654179,0.007238218,0.017115641,0.002758431,0.006620325,2.621473737,-0.286251446,-0.297282829,-0.264487841,-0.667651001,-0.102310344,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,3.086748139,2.924140242,3.94046643,2.347193344,2.816290779,2.219886181,2.275067254,2.769270457,3.737887604,3.453168203,3.73120151,2.684560899,2.841540825,3.305889106,2.934012114,3.968627492,9.143150589,7.537989607,9.668019204,11.10955972,11.78951796,9.859092666,12.22851414,10.10817658,9.68819227,10.95561988,11.44114717,9.027133214,7.59475412,7.152312202,5.894320717,9.378130287,8.951493408,12.06089873,9.363057209,7.010565651,7.688818285,3.767077712,3.890643148,4.351626004,3.807133574,3.164507658,2.586502927,2.434649839,2.147175018,
Brazil,BRA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.158978529,1.749508035,0.835880477,0.856765174,1.173869813,1.083385129,1.341311551,0.796098313,0.800436599,0.521535057,0.450842226,0.32361657,0.253463831,0.144435868,0.160535876,0.136194529,0.074455664,0.045482509,0.057517108,0.048674277,0.03754951,0.092903848,0.077663651,0.052505538,0.081300681,0.057982451,0.069495769,0.101835804,0.065877966,0.045038115,0.03359339,0.027413252,-0.065588348,0.046783201,0.046794033,0.035799533,0.0326374,0.030392297,0.034186267,0.021669538,0.036907664,0.041092225,0.042698835,0.03709298,0.023980719,0.028371418,0.010677415,0.023993875,0.028516404,0.021215391,0.020694348,0.031590394,0.053805936,0.048583897,0.038494001,
Barbados,BRB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,1.656167966,1.806854073,1.282903018,1.796321109,0.718793936,0.612898785,0.289259989,0.437223669,0.193960171,0.120447892,0.132967654,0.107735514,0.001560387,0.179415723,0.048436456,-0.052643519,0.180621178,0.173599256,0.557952195,-0.072788997,0.007935589,-0.038298227,0.108537045,0.63367599,0.84913863,-0.048701736,-0.051394191,0.401766764,0.163713915,0.271081948,0.373818836,,,,,
Brunei Darussalam,BRN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152739873,0.110209998,0.097793776,0.128359941,0.123486675,0.128690117,0.090620656,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,7.313443501,8.373214371,9.787837753,10.72844437,12.75830505,16.99336996,23.52273864,18.23838142,15.77992217,15.43317097,16.36057965,26.88172792,24.34414877,29.90676132,29.17101951,26.79324644,20.41701709,19.60283754,17.39598305,19.23220613,12.10269956,12.70258524,13.9090722,12.71556545,11.35421161,11.15446149,11.35570798,7.611842586,7.059020338,10.32626634,8.713905485,8.358423174,9.590972096,7.984962977,7.115306889,
Botswana,BWA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,10.02770828,14.77698236,13.10667023,12.44903851,18.97062661,20.02237268,31.38228582,29.32435844,23.79097945,16.19112776,14.10548323,13.5338825,19.00809543,14.75813968,11.77996321,14.34247945,12.73570005,10.4622207,11.64788973,12.1250842,10.38107919,8.680519079,9.690587317,9.104921467,9.046323786,9.389838429,7.851346995,8.954813773,6.069630124,5.606163509,3.941051985,3.272116821,2.612412042,2.91666596,2.111042376,1.905843629,1.620355889,2.492103915,2.163937708,1.166029095,0.56326512,0.544981126,0.784488573,0.409808016,0.627416336,0.527510131,0.735623198,1.055496152,7.063964738,2.783496582,1.254136421,0.760986225,0.491242214,0.734865338,0.632808868,
Central African Republic,CAF,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.026846182,0.342223295,0.91880194,1.535228586,11.85592584,10.50831712,9.941408558,12.58766243,9.1739979,10.59702764,7.67725236,7.816381859,11.23761422,9.549261412,13.11141983,14.53344133,8.589002673,8.85943131,8.328175874,11.98795286,13.77165309,14.49638862,12.0720697,14.25328742,20.96450385,12.1100829,12.17625515,15.29550561,16.54191755,15.62198989,17.54880141,12.74116884,12.72174628,13.62946709,20.17876145,15.33087665,17.09007876,9.869815272,12.64484586,11.91222874,8.351118992,8.267225533,6.132487474,4.507606574,8.742578558,6.633934616,9.223720275,10.48805394,13.10988101,12.24907256,13.07794562,12.18783119,10.41865972,13.09370749,35.28694772,
Canada,CAN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002620719,0.04544839,0.02783705,0.052869677,0.033866729,0.017838984,0.018574771,0.029789358,0.053644892,0.037485556,0.019409602,0.016285599,0.014361024,0.021066933,0.013480514,0.016456775,0.013655849,0.010402447,,,,,
Switzerland,CHE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,CHI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.32773549,2.637139961,2.532395565,2.730980909,2.398848454,1.979075489,2.032057039,1.571172946,1.271328492,1.233029595,0.850003907,0.465984943,0.447106847,0.307695619,0.154510685,1.829608534,0.076579582,0.077136486,0.04807754,-0.139225741,-0.039745943,-0.0233504,-0.039634031,0.000556309,0.013112019,0.277792905,-0.032626254,0.111278619,0.195603503,0.233732016,0.347454673,0.350681162,0.308573582,0.377558609,0.285310865,0.228083306,0.266654652,0.160798456,0.137227778,0.0987718,0.063936467,0.107781162,-0.010773166,0.116778237,0.058592963,0.146861344,0.07441043,0.067937459,0.064691264,0.048946418,0.097276245,0.06934403,0.049214125,0.02976168,0.096513691,
China,CHN,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,0.009527497,0.034537307,0.244948528,0.25677981,0.291000738,0.307483333,0.3044729,0.366560832,0.508145429,0.617858236,0.59827827,0.564643191,0.505602009,0.704136441,0.725615128,0.559242717,0.481865511,0.311175922,0.216161962,0.241769902,0.221330369,0.143772676,0.117970879,0.103442976,0.082853002,0.088595335,0.080546412,0.045799413,0.042137741,0.032254432,0.022361808,0.010731866,-0.008196517,-0.002285648,-0.007136574,-0.00929654,
Cote d'Ivoire,CIV,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.023361884,0.551749468,1.431667162,1.182233596,4.349899556,4.324402863,3.631302501,3.250220841,3.605399707,3.763829744,3.70382377,3.365945655,2.69796046,2.632715707,2.543170208,2.656050076,2.385734587,1.712275683,1.706464236,1.841836613,2.16723962,1.555568161,1.941620427,2.525481315,1.936972359,1.864145809,2.059715315,2.614884689,4.565779521,4.712574355,7.453448425,6.90564929,7.705519697,7.883311465,21.13024879,12.10307133,8.590801551,4.056422428,8.04504684,3.809722809,3.608517276,1.875651177,9.880191711,1.948644762,1.087304854,0.555046616,1.446000945,0.875744615,2.682162889,10.28840082,3.523330712,5.884317681,10.06691565,4.255919846,2.801300724,
Cameroon,CMR,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,4.876958112,5.372419967,3.743848572,5.783828364,4.315756606,4.780264253,4.029176784,3.155314922,4.478021272,4.967353884,6.88550644,4.454068264,5.055932543,4.712763472,2.885530112,3.083068499,1.836492941,2.430437026,1.93160807,2.065044965,1.672672897,2.21395899,4.144194446,4.163320465,4.427734191,6.648723391,4.24712349,8.417524122,5.396512606,4.487030254,5.402997764,5.428941643,4.334769927,4.333259346,5.121921298,5.935661502,6.76515699,5.143283825,2.571123154,9.710902611,9.664586525,2.394579441,2.786467438,2.315731955,2.326003222,2.290690906,2.5834146,2.683420203,
"Congo, Rep.",COG,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.015437391,0.127648167,1.878802707,3.339983971,9.740835077,8.143008371,11.61488316,8.003098878,8.630436388,6.602848673,5.739090663,5.44904628,5.712720688,5.102478508,6.641031334,7.580215889,10.12581778,6.615686903,9.738375646,8.152837827,5.902784585,4.275676617,4.546405544,5.581219598,4.670358021,3.40995583,5.700787705,5.887027418,4.541550666,4.465283432,9.344874562,5.847937119,4.417660761,7.916224192,23.89230301,10.16533558,29.50271481,16.16899213,4.389936775,8.532176649,1.408214721,3.749541376,2.653162553,2.682101777,3.652486479,35.35163813,5.059347689,2.055837445,5.531419393,4.059131438,14.57302466,2.436281547,1.320924287,1.364628551,0.900166461,
Colombia,COL,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,-0.284399003,1.005576781,0.94423366,1.558239395,0.917633535,0.648638072,1.725885284,1.947993674,3.275007152,1.920674484,2.29019462,1.703085648,1.416369289,1.457195366,0.874021312,0.645855823,0.500815826,0.25198396,0.308185579,0.194263165,0.270630215,0.281601714,0.253929704,0.228743051,0.238590101,0.184087505,0.18741144,0.2233061,0.166054666,0.179574005,0.23181889,0.287739642,0.490635456,0.154678718,0.092671086,0.185784725,0.196473744,0.186108955,0.172809129,0.356209821,0.190259558,0.401296894,0.460019077,0.875174129,0.455486467,0.439151931,0.640691905,0.361997913,0.414629235,0.469893193,0.244632423,0.316869786,0.215143888,0.233443841,0.334541263,
Comoros,COM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,28.208884,42.3789239,34.51435747,27.00029437,31.80635201,30.20452462,30.13620589,41.57077934,46.00227844,36.10761349,48.82969328,21.56882059,18.38722592,21.18984473,34.84026905,40.48626781,35.36253705,33.89580408,39.93941419,41.59085569,28.53375545,27.66345637,24.95628751,22.03464087,18.00056,25.6990111,17.72570878,18.32018008,20.78261721,17.86067157,16.76750343,13.97335938,18.64428269,9.628252824,9.163143365,12.48150525,11.21209467,7.760600159,7.191618414,6.025858348,7.877946606,9.749389682,8.065193412,9.821968948,13.03136932,9.192463193,12.50091289,13.21898478,11.88284774,
Cabo Verde,CPV,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,44.53512096,34.78061217,37.74276482,42.69698581,47.52076624,48.1174798,55.37353299,35.93581197,31.08392636,30.65741091,34.05176149,31.77329929,32.4961678,23.39531182,29.45802296,23.88270839,23.4053692,22.75666575,25.095926,23.24080592,17.84360617,13.86086514,15.09617836,18.41546015,15.78148093,17.28834732,13.02626216,11.14105142,12.72961025,11.72343134,20.58263472,14.04340427,14.64372543,13.8014207,12.93668403,
Costa Rica,CRI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,0.714057049,1.247370994,1.980260972,2.011489773,2.628196413,2.679306395,2.236447307,2.188143312,1.578232855,1.970801569,1.548971399,1.556453707,1.550780095,1.566379232,1.416162837,1.584750818,1.041535404,0.841707212,1.484203861,1.420807127,1.395994657,2.32080324,3.62778557,6.90420194,5.057305838,6.186608037,3.739050276,4.108380749,3.273988654,3.498026592,3.174120469,2.517119638,1.678080346,1.053159434,0.717719338,0.258066737,-0.110047627,-0.063195669,0.125342385,-0.070554866,0.065468863,0.002353053,-0.002072591,0.173399797,0.070333388,0.130691806,0.140741054,0.227636289,0.224739674,0.383653774,0.264252121,0.087924932,0.064367927,0.069694971,0.111700651,
Caribbean small states,CSS,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,1.018805603,1.704179558,1.795015111,1.820524924,1.485373383,2.037239082,1.331598197,1.186769205,2.239734341,2.049008982,1.905193503,2.156770883,1.859611731,1.444960495,1.952700497,1.701051681,2.481552898,1.924834777,2.833342067,2.93868,2.599371697,2.761016616,2.478423365,1.807154631,1.986119008,2.149779793,2.59356445,2.49035971,2.460959995,3.086872062,3.675387921,2.62796804,2.409356979,2.202987581,2.196883068,2.226533816,2.120402238,2.162696604,1.050920901,0.867962089,0.764002893,0.896557345,0.733557343,0.541870146,0.826179298,0.775220594,0.748234211,0.905777653,0.861379616,1.292664535,1.066651163,0.712995849,0.478663658,0.531133519,0.543555797,
Cuba,CUB,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,0.032593079,0.036566003,0.044740654,0.052978659,0.136131421,0.153622206,0.337587348,0.322459674,0.274182569,0.249326252,0.23183167,0.138497597,0.17081964,0.169109272,0.151588306,0.186890966,0.175940709,0.197779445,0.226950656,0.213670614,0.184805111,0.154752375,0.112127295,0.197527182,0.166868288,0.212527468,0.231686681,0.262551893,0.316671939,0.210014937,0.146910995,0.172227443,0.193087737,0.212275296,0.275711113,0.210372973,0.179780066,0.160987855,0.213351721,0.190401022,0.2053075,0.128182593,,,,
Curacao,CUW,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,6.30917909,9.678337365,12.67408811,4.847745057,2.290397109,2.407333575,2.07125876,1.413307803,0.859804269,0.736908803,1.511516462,1.12979379,1.100408569,1.019797525,0.878952687,0.676329821,0.677706619,0.373920937,0.50557314,0.586307584,0.227664464,0.237550556,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.19035343,22.52609107,27.48686582,25.29269092,20.45889368,19.0075534,16.59858436,15.42904806,13.68376418,12.72266304,10.13818291,12.21921288,11.81348045,8.773416445,9.553728256,,,,,,,,,,
Dominica,DMA,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,13.60997987,15.81041043,20.48197857,29.64646517,22.12279377,23.19663769,12.47391974,18.44268541,17.7651308,10.69596098,13.06478175,12.82026791,16.32300432,12.16992196,10.20407744,6.887201857,4.591644003,9.582412575,11.86625434,19.81234191,6.361268094,7.926228086,4.062820251,5.122631359,6.191583874,9.555619625,3.457401197,8.622344964,6.184815618,5.199258433,4.831230717,5.049401519,7.561730428,6.699241132,5.015781842,5.408523715,4.110143306,3.089229721,
Denmark,DNK,Net ODA received (% of GNI),DT.ODA.ODAT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
