"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","year","LifeExpectancy"
"86","Grenada","GRD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",58.013
"87","Greenland","GRL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"88","Guatemala","GTM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",44.877
"89","Guam","GUM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",59.12
"90","Guyana","GUY","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",57.748
"91","High income","HIC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.13959722
"92","Hong Kong SAR, China","HKG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",63.408
"93","Honduras","HND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",44.621
"94","Heavily indebted poor countries (HIPC)","HPC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",38.3305122
"95","Croatia","HRV","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.095
"96","Haiti","HTI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",40.804
"97","Hungary","HUN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.93
"98","Indonesia","IDN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",47.293
"99","Isle of Man","IMN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"100","India","IND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",41.89
"101","Not classified","INX","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"102","Ireland","IRL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",67.902
"103","Iran, Islamic Rep.","IRN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.706
"104","Iraq","IRQ","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",48.478
"105","Iceland","ISL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",71.135
"106","Israel","ISR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"107","Italy","ITA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.68
"108","Jamaica","JAM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.711
"109","Jordan","JOR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",52.456
"110","Japan","JPN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.31
"111","Kazakhstan","KAZ","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",53.231
"112","Kenya","KEN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",44.479
"113","Kyrgyz Republic","KGZ","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",52.011
"114","Cambodia","KHM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.613
"115","Kiribati","KIR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",47.095
"116","St. Kitts and Nevis","KNA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"117","Korea, Rep.","KOR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",50.614
"118","Kosovo","KSV","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"119","Kuwait","KWT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",59.228
"120","Latin America & Caribbean (developing only)","LAC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",52.68403764
"121","Lao PDR","LAO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",41.543
"122","Lebanon","LBN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.565
"123","Liberia","LBR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",32.43
"124","Libya","LBY","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",41.449
"125","St. Lucia","LCA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",53.754
"126","Latin America & Caribbean (all income levels)","LCN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",54.20092168
"127","Least developed countries: UN classification","LDC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.09916274
"128","Low income","LIC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",37.77340614
"129","Liechtenstein","LIE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"130","Sri Lanka","LKA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",57.353
"131","Lower middle income","LMC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.04187875
"132","Low & middle income","LMY","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",44.73924227
"133","Lesotho","LSO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.259
"134","Lithuania","LTU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.94
"135","Luxembourg","LUX","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.362
"136","Latvia","LVA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.26
"137","Macao SAR, China","MAC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.998
"138","St. Martin (French part)","MAF","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"139","Morocco","MAR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",47.152
"140","Monaco","MCO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"141","Moldova","MDA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",58.024
"142","Madagascar","MDG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.042
"143","Maldives","MDV","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",37.134
"144","Middle East & North Africa (all income levels)","MEA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.12508085
"145","Mexico","MEX","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",55.091
"146","Marshall Islands","MHL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"147","Middle income","MIC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.27958683
"148","Macedonia, FYR","MKD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",60.195
"149","Mali","MLI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",27.436
"150","Malta","MLT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.353
"151","Myanmar","MMR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.872
"152","Middle East & North Africa (developing only)","MNA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.1294755
"153","Montenegro","MNE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.51
"154","Mongolia","MNG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.161
"155","Northern Mariana Islands","MNP","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"156","Mozambique","MOZ","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",33.692
"157","Mauritania","MRT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",43.067
"158","Mauritius","MUS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",56.954
"159","Malawi","MWI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",37.239
"160","Malaysia","MYS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",58.669
"161","North America","NAC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.75242656
"162","Namibia","NAM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",44.756
"163","New Caledonia","NCL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",56.2
"164","Niger","NER","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.557
"165","Nigeria","NGA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.981
"166","Nicaragua","NIC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.712
"167","Netherlands","NLD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",71.5
"168","High income: nonOECD","NOC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.55610912
"169","Norway","NOR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",71.34
"170","Nepal","NPL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.044
"171","New Zealand","NZL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",68.7
"172","High income: OECD","OEC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.9724458
"173","OECD members","OED","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",64.59266955
"174","Oman","OMN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",41.87
"175","Other small states","OSS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",43.57488225
"176","Pakistan","PAK","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.109
"177","Panama","PAN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",59.87
"178","Peru","PER","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.455
"179","Philippines","PHL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",56.609
"180","Palau","PLW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"181","Papua New Guinea","PNG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",37.512
"182","Poland","POL","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",64.9
"183","Puerto Rico","PRI","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.084
"184","Korea, Dem. PeopleÍs Rep.","PRK","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",48.424
"185","Portugal","PRT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",60.086
"186","Paraguay","PRY","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.862
"187","Pacific island small states","PSS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",51.92941359
"188","French Polynesia","PYF","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",54.899
"189","Qatar","QAT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",59.189
"190","Romania","ROU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",63.86
"191","Russian Federation","RUS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.067
"192","Rwanda","RWA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",40.701
"193","South Asia","SAS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",42.44647722
"194","Saudi Arabia","SAU","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",43.677
"195","Sudan","SDN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.793
"196","Senegal","SEN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",37.466
"197","Singapore","SGP","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",62.293
"198","Solomon Islands","SLB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",48.65
"199","Sierra Leone","SLE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",28.773
"200","El Salvador","SLV","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",47.705
"201","San Marino","SMR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"202","Somalia","SOM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.481
"203","Serbia","SRB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"204","Sub-Saharan Africa (developing only)","SSA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",38.87153713
"205","South Sudan","SSD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",30.325
"206","Sub-Saharan Africa (all income levels)","SSF","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",38.86758975
"207","Small states","SST","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",50.17791212
"208","Sao Tome and Principe","STP","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",49.006
"209","Suriname","SUR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",57.905
"210","Slovak Republic","SVK","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",67.853
"211","Slovenia","SVN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.1
"212","Sweden","SWE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",71.23
"213","Swaziland","SWZ","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",42.325
"214","Sint Maarten (Dutch part)","SXM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"215","Seychelles","SYC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"216","Syrian Arab Republic","SYR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",52.498
"217","Turks and Caicos Islands","TCA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"218","Chad","TCD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",35.961
"219","Togo","TGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.366
"220","Thailand","THA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",52.452
"221","Tajikistan","TJK","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",53.795
"222","Turkmenistan","TKM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",50.966
"223","Timor-Leste","TLS","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",33.182
"224","Tonga","TON","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.026
"225","Trinidad and Tobago","TTO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.081
"226","Tunisia","TUN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",41.06
"227","Turkey","TUR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",42.481
"228","Tuvalu","TUV","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"229","Tanzania","TZA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",42.009
"230","Uganda","UGA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",42.446
"231","Ukraine","UKR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",65.641
"232","Upper middle income","UMC","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.49817336
"233","Uruguay","URY","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",64.852
"234","United States","USA","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",66.6
"235","Uzbekistan","UZB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",55.467
"236","St. Vincent and the Grenadines","VCT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",55.819
"237","Venezuela, RB","VEN","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",57.69
"238","Virgin Islands (U.S.)","VIR","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",61.659
"239","Vietnam","VNM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",55.628
"240","Vanuatu","VUT","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",45.067
"241","West Bank and Gaza","PSE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",NA
"242","World","WLD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",50.59462256
"243","Samoa","WSM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",46.75
"244","Yemen, Rep.","YEM","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",33.236
"245","South Africa","ZAF","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",47.328
"246","Congo, Dem. Rep.","COD","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",39.64
"247","Zambia","ZMB","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",43.622
"248","Zimbabwe","ZWE","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1960",49.981
"249","Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1961",64.429
"250","Andorra","AND","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1961",NA
"251","Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1961",32.035
"252","Angola","AGO","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN","Y1961",31.935
